都道府県名,グルメ名,説明,画像URL
北海道,ジンギスカン,羊肉を使った郷土料理のジンギスカンは、酪農が盛んな北海道ならではのご当地メニュー。醤油ベースのタレに漬け込んだ羊肉を、野菜類と一緒に専用のジンギスカン鍋で焼いて味わいます。,lib/images/icon1.jpeg
北海道,スープカレー,札幌を中心に専門店が多数存在する名物のスープカレー。スパイスのきいたサラサラとしたカレーが特徴で、店ごとにダシは鶏ガラ、海老、和風など多種多様。さらに、チキンや素揚げ野菜など具材もゴロゴロと大きく、食べ応え満点です。,lib/images/icon2.jpeg
北海道,札幌ラーメン,屋台の味が源流と言われる札幌ラーメン。コクのある味噌味のスープと黄色い中太ちぢれ麺、さらにトッピングにバターとコーンを浮かべてあるのが基本スタイルです。,lib/images/icon3.jpeg
北海道,海鮮丼,海の幸をごはんにたっぷりのせて味わう海鮮丼は、魚介類の宝庫でもある北海道を訪れたなら外せない逸品です。中でも市場や朝市で提供される海鮮丼は刺身類の鮮度が抜群でボリュームもあり、お手ごろ価格と評判です。,lib/images/icon4.jpeg
青森県,十和田バラ焼き,県南部の内陸に位置する十和田市の名物。タレで下味を付けた牛バラ肉を、たっぷりのタマネギと一緒に鉄板で焼き上げるプルコギスタイルの料理です。,lib/images/icon5.jpeg
青森県,せんべい汁,八戸市付近の郷土料理で、B-1グランプリが誕生するきっかけとなったご当地グルメ。肉や魚、野菜、キノコなどでだしを取った汁に、小麦粉でできた南部せんべいを割り入れて煮込みます。,lib/images/icon6.jpeg
青森県,つゆ焼きそば,黒石市のつゆ焼きそばは、太い平麺を甘辛いソースで味付けした焼きそばに、そばつゆもしくはラーメンのスープをかけたものです。基本のトッピングは長ネギと天かすですが、店によって個性を出しているのが特徴です。,lib/images/icon7.jpeg
青森県,大間マグロ,最高級として全国に名を馳せる大間マグロは、下北半島の先端にある大間港で水揚げされる天然マグロのブランド。都内で食べたらとんでもない価格ですが、現地なら手を出せる値段で食べられます。,lib/images/icon8.jpeg
岩手県,盛岡冷麺,コシの強さとつるっとしたのど越しの良さが持ち味の盛岡冷麺。この麺に、牛骨や鶏ガラでダシをとったコクのある冷たいスープ、キムチも加わって三位一体のハーモニーを奏でます。,lib/images/icon9.jpeg
岩手県,わんこそば,一口に小分けされた温かいそばが「わんこ（お椀）」で提供される郷土料理です。そばはあらかじめ麵つゆにくぐらせてあり食べやすいのが特徴。10～15杯ほどで一般的なそばの1人前になります。,lib/images/icon10.jpeg
岩手県,じゃじゃ麺,コシのある平打ち麺の上に、肉味噌や千切りキュウリ、ネギがのった盛岡じゃじゃ麺。好みで酢やラー油、ショウガ、ニンニクなどを加え、全体をよく混ぜて味わいます。〆には、残った味噌に卵と茹で汁をプラスし、スープとしていただくこともできます。,lib/images/icon11.jpeg
岩手県,前沢牛,県南部の内陸に位置する奥州市前沢で肥育される、黒毛和種のブランド牛肉。地元産の良質な稲わらを餌に、冷涼な環境で伸び伸びと育つ前沢牛は、肉質の良さと上質できめ細やかな霜降りが特徴です。,lib/images/icon12.jpeg
宮城県,牛タン,仙台グルメを代表する牛タン。麦飯とテールスープがセットの牛タン焼き定食が定番です。厚切りですがとてもやわらかな牛タンは噛めば噛むほどうま味があふれ出てきます。,lib/images/icon13.jpeg
宮城県,ずんだ,ずんだとは、茹でた枝豆をすり潰して砂糖で甘く味付けした餡のこと。この餡をつきたてのお餅にからめた郷土料理がずんだ餅です。近年は、ずんだシェイクやずんだパフェなど、さまざまなずんだスイーツも登場して人気を集めています。,lib/images/icon14.jpeg
宮城県,笹かまぼこ,明治期に仙台湾でたくさんとれる魚を加工し、保存するために誕生したと言われる笹かまぼこ。現在はスケトウダラなど白身魚のすり身が材料に使われています。,lib/images/icon15.jpeg
宮城県,はらこ飯,亘理町の名物のはらこ飯は、鮭の煮汁で炊いたご飯の上に、鮭の身とイクラをたっぷりのせた宮城のご当地グルメです。仙台藩主・伊達政宗がこの地を視察に訪れた際、領民が献上したことでも有名です。,lib/images/icon16.jpeg
秋田県,きりたんぽ,細長い形状が特徴のきりたんぽは、炊き上がったご飯を軽くすりつぶし、串を包むように握りつけた食べものです。鍋の具にする「きりたんぽ鍋」が有名ですが味噌焼きにしてもおいしく、いろいろなアレンジが楽しめます。,lib/images/icon17.jpeg
秋田県,比内地鶏,比内地鶏は、秋田県が誇るブランド鶏です。良質な赤みが多くプリッとした歯ごたえで、一般的な鶏肉に比べて脂肪が少ないためヘルシー志向の方にも大変人気があります。,lib/images/icon18.jpeg
秋田県,横手焼きそば,横手市の名物として知られ、ご当地グルメのイベント「B-1グランプリ」で優勝経験もある横手やきそば。甘口のソースで味付けし、トッピングに半熟の目玉焼きと福神漬けをのせて完成。,lib/images/icon19.jpeg
秋田県,ハタハタ,県の魚にも指定されているほど、秋田の人々の生活に根付くハタハタ。身はあっさりと淡泊で、塩焼きはもちろん、魚醤を使った「しょっつる鍋」や、麹や塩などで漬けた「ハタハタ寿司」などが有名です。,lib/images/icon20.jpeg
山形県,米沢牛,山形県の特産品であり日本三大和牛のひとつに数えられることもある「米沢牛」。赤身と脂身のバランスが良く、柔らかくジューシーな肉質の中に旨味が凝縮されています。,lib/images/icon21.jpeg
山形県,芋煮,「芋煮」は、里芋やこんにゃく、ねぎ、きのこ類、季節の野菜などを主な具材とした鍋料理です。同じ山形県でも、内陸部の芋煮は主に牛肉で醤油味、日本海側の庄内地域の芋煮は豚肉で味噌味と材料も味付けも異なります。,lib/images/icon22.jpeg
山形県,玉こんにゃく,こんにゃくを丸くして醤油出汁に浸け込んだ、シンプルですが絶品のグルメです。醤油出汁が染みわたる玉こんにゃく、一口食べると独特の食感と共に口内に染み込んだ出汁が一斉に広がります。,lib/images/icon23.jpeg
山形県,米沢ラーメン,細打手もみちぢれ麺とあっさりした醤油味のスープが特徴。出汁は鶏ガラ、野菜、煮干しを使う店が多く、毎日食べても飽きのこないあっさりとして後味のよいスープです。,lib/images/icon24.jpeg
福島県,喜多方ラーメン,大正末期頃に屋台で売られていた支那そばがルーツとされる喜多方ラーメン。醤油味ベースのスープと、「平打ち熟成多加水麺」と呼ばれる通常よりも水分を多く含んだ麺が特徴です。,lib/images/icon25.jpeg
福島県,なみえ焼きそば,なみえ焼きそばは、双葉郡浪江町発のご当地グルメ。全国的にその名が知られる、福島県を代表するB級グルメです。うどんを思わせる極太麺と、もやしや豚肉などのシンプルな具の組み合わせは、絶妙のバランスです。,lib/images/icon26.jpeg
福島県,円盤餃子,フライパンで焼き上げられた姿のまま、円盤のように餃子が盛り付けられて登場します。キャベツや白菜などの野菜が多く使われており、中はジューシーで、外はサクッと焼き上がっているのが特徴です。,lib/images/icon27.jpeg
福島県,ソースカツ丼,会津でカツ丼と言えば、ほかほかのご飯の上に千切りキャベツを敷き、トンカツにソースをからめてのせたソースカツ丼が定番。カツが大きめでボリュームがあり、各店オリジナルのソースやキャベツとのバランスも絶妙です。,lib/images/icon28.jpeg
茨城県,あんこう鍋,あんこうの地として有名なのが、大洗。肝を使った味噌仕立てのだしでなめらかな味わいが特徴の「大洗あんこう鍋」をいただけます。白身はくせがなく淡白、皮はぷりっとしていてアン肝はこっくり濃厚です。,lib/images/icon29.jpeg
茨城県,常陸牛,常陸牛は、茨城を代表する黒毛和牛の最高級ブランドです。風味豊かで、特に赤身が美味しくジューシーでやわらかく、枝肉重量は全国でもトップクラスで大きく、肉質と脂肪交雑（サシ）が全国上位という特徴があります。,lib/images/icon30.jpeg
